Type,Order,Family,Genus,Species,authority,Popular_name_PT,English_name,BR,RR,RB,TP,SG,SB,EM,OC,Habitat use,Depth_category,max_depth_m,Size_category,Maximum_size_cm,Mobility,Geographic_distribution,Trophic_category ,Functional group,Potencial de dispersão,Rafting,Targeted_species_fisheries,IUCN,National list,Brazilian Province,Argentine,North Islands,Central Islands,PML-PAMA,Northeast with PAMA-PML,Northeast,Southeast,Noronha/rocas,Atol,FN,SpSp,PML,PA-MA,CE,RN,PE,PB,AL,CVT,Tri,BA,Abr,ES,ArC,IGr,RJ,SP,PR,SC,URU,ARG,total,BR Endêmico,SWA Endemic,Expatriated,Exotic,References,Museums,OBS,
OSTEICH,Perciformes,APOGONIDAE,Apogon,Apogon pseudomaculatus,"Longley, 1932","apogon de duas manchas, apogon; Totó",Twospot cardinalfish,1,1,0,1,1,1,0,0,5,DEEP,100,SMALL,10,SED,"WA, EA",PLANK,NPLA,BRO,N,0,,LC,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,16,0,,,0,"22, 31, 35, 41, 59, 67, 70","D, H",,
OSTEICH,Perciformes,APOGONIDAE,Apogon,Apogon quadrisquamatus ,"Longley, 1934",,Sawcheek cardinalfish,1,1,0,0,0,1,0,0,3,DEEP,75,SMALL,7,SED,WA,PLANK,NPLA,BRO,N,0,,DD,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,9,0,,,0,"16, 20, 31, 35","D, H",,
OSTEICH,Perciformes,APOGONIDAE,Apogon,Apogon robbyi ,"Gilbert & Tyler, 1997",,Striped cardinalfish,1,1,0,0,1,1,0,0,4,DEEP,54,SMALL,9.6,SED,WA,PLANK,NPLA,BRO,N,0,,LC,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,0,,,0,31,,,
OSTEICH,Perciformes,APOGONIDAE,Astrapogon,Astrapogon puncticulatus,"(Poey, 1867)",Cardeal pintado,Blackfin cardinalfish,1,1,1,0,1,0,0,0,4,DEEP,57,SMALL,8,SED,WA,PLANK,NPLA,BRO,N,0,,LC,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,13,0,,,0,"16, 29, 31, 35, 70","D, H",,
OSTEICH,Perciformes,APOGONIDAE,Phaeoptyx,Phaeoptyx pigmentaria,"(Poey, 1860)",Apogon pintado; Estrelado;,"dappled cardinalfish, dusky cardinalfish",1,1,0,1,1,0,1,0,5,MID,70,SMALL,8,SED,"WA, OIB, EA",PLANK,NPLA,BRO,N,1,,LC,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,0,,,0,"10, 15, 16, 20, 24, 29, 35, 37, 49, 57, 70","D, H",,
CONDR,Rajiformes,Arhynchobatidae,Atlantoraja ,Atlantoraja castelnaui ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,0,1,,,,,,
CONDR,Rajiformes,Arhynchobatidae,Atlantoraja ,Atlantoraja cyclophora ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,0,1,,,,,,
CONDR,Rajiformes,Arhynchobatidae,Atlantoraja ,Atlantoraja platana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,0,1,,,,,,
CONDR,Rajiformes,Arhynchobatidae,Rioraja ,Rioraja agassizi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,0,1,,,,,,
OSTEICH,Siluriformes,ARIIDAE,Bagre,Bagre marinus,"(Mitchill, 1815)",,Gafftopsail sea catfish,0,1,0,0,0,1,0,0,2,MID,50,LARGE,69,ROV,WA,MCAR,MCAR,BRO,N,1,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,0,90,,,
OSTEICH,Siluriformes,ARIIDAE,Cathorops,Cathorops spixii,"(Agassiz, 1829)",,Madamango sea catfish,0,1,0,0,0,1,0,0,2,MID,50,MED,30,ROV,WA,MCAR,MCAR,BRO,N,2,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,0,90,,,
OSTEICH,Siluriformes,ARIIDAE,Genidens,Genidens genidens,"(Cuvier, 1829)",Bagre guri; Bagre urutu; Bagre mandi; Bagre guru; Guriaçu; Bagre de manta; Pareré; Bagre guriaçu,Guri sea catfish,0,0,0,0,0,1,1,0,2,MID,30,MED,35,ROV,SA,MINV,MINV,BRO,N,1,LC,LC,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,9,0,1,,0,"35, 69",,,
OSTEICH,Perciformes,ARIOMMATIDAE,Ariomma,Ariomma bondi,"Fowler, 1930",,,0,0,0,0,0,0,0,1,1,VDEEP,500,MED,30,HMO,"WA, EA",MINV,MINV,PEL,N,0,,LC,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,70,,,
OSTEICH,Atheriniformes,ATHERINIDAE,Atherinomorus,Atherinomorus stipes,"(Müller & Troschel, 1848)",Mamarreis,Hardhead silverside,1,1,0,0,0,1,1,0,4,VSHALL,2,SMALL,10,ROV,"WA, EP",PLANK,DPLA,PEL,N,3,LC,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,0,,,Buia?,
OSTEICH,Atheriniformes,ATHERINOPSIDAE,Atherinella,Atherinella  brasiliensis,"(Quoy & Gaimard, 1825) ",Mamarreis; Manjuba; Manjuba verde; Peixe-rei; Varapau; Charuto; João-duro; Piquitinga; Piaba-dura; Pititinga; Charuto,Brazilian silverside,1,1,0,1,1,1,1,0,6,VSHALL,2,MEDSMALL,16,ROV,WA,PLANK,DPLA,PEL,N,3,,LC,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,13,0,1,Venezuela towards south,0,"9, 14, 27, 35, 57, 67","D, H",,
